Prescription requirement ,tier_3,t3_code,tier_4,t4_code,Tier 5 (Item),t5_code
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Jackets and trousers,09 03 18
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Skirts and dresses,09 03 21
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Underwear,09 03 24
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Stockings and socks,09 03 27
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Nightwear,09 03 30
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Bathing wear,09 03 33
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Bibs and aprons,09 03 39
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Shoes and boots,09 03 42
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Anti-slip assistive products for shoes and boots,09 03 45
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Buttoning devices and fasteners,09 03 48
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Neckties and bowties,09 03 51
Low risk,Self-care Products,SERV-0062,Clothes and shoes,09 03,Other,09 03 OTH
Low risk,Self-care Products,SERV-0062,Dressing and undressing,09 09,Assistive products for putting on or removing clothing,09 09 03
Low risk,Self-care Products,SERV-0062,Dressing and undressing,09 09,Shoehorns and bootjacks,09 09 06
Low risk,Self-care Products,SERV-0062,Dressing and undressing,09 09,Clothes holders,09 09 09
Low risk,Self-care Products,SERV-0062,Dressing and undressing,09 09,Dressing and undressing hooks or sticks,09 09 12
Low risk,Self-care Products,SERV-0062,Dressing and undressing,09 09,Zipper pullers,09 09 15
Low risk,Self-care Products,SERV-0062,Dressing and undressing,09 09,Button hooks,09 09 18
Low risk,Self-care Products,SERV-0062,Dressing and undressing,09 09,Other,09 09 OTH
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Toilet seats,09 12 09
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Toilet splash guards,09 12 10
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Toilet seats with built-in raising mechanism to assist standing up and sitting down,09 12 21
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Toilet arm supports and toilet back supports mounted on toilet,09 12 24
Low risk,Self-care Products,SERV-0062,Toileting,09 12,"Toilet arm supports and toilet back supports, free-standing",09 12 25
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Toilet paper tongs,09 12 27
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Toilet roll holders,09 12 30
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Bedpans,09 12 33
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Padding for toilet seats,09 12 45
Low risk,Self-care Products,SERV-0062,Toileting,09 12,Other,09 12 OTH
Low risk,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,"	Non-slip bathmats, non-slip shower mats and non-slip tapes",09 33 06
Low risk,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Back supports for bath or shower,09 33 08
Low risk,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,"Washcloths, sponges and brushes with holder, handle or grip",09 33 30
Low risk,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Assistive products for drying oneself,09 33 36
Low risk,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Other,09 33 OTH
Low risk,Self-care Products,SERV-0062,Nail care,09 36,Nail brushes,09 36 03
Low risk,Self-care Products,SERV-0062,Nail care,09 36,Nail files and emery boards,09 36 06
Low risk,Self-care Products,SERV-0062,Nail care,09 36,Nail scissors and clippers,09 36 09
Low risk,Self-care Products,SERV-0062,Nail care,09 36,Other,09 36 OTH
Low risk,Self-care Products,SERV-0062,Hair care,09 39,Assistive products for shampooing,09 39 03
Low risk,Self-care Products,SERV-0062,Hair care,09 39,Combs and hairbrushes,09 39 06
Low risk,Self-care Products,SERV-0062,Hair care,09 39,Hair dryers,09 39 09
Low risk,Self-care Products,SERV-0062,Hair care,09 39,Other,09 39 OTH
Low risk,Self-care Products,SERV-0062,Dental care,09 42,Unpowered toothbrushes,09 42 03
Low risk,Self-care Products,SERV-0062,Dental care,09 42,Powered toothbrushes,09 42 06
Low risk,Self-care Products,SERV-0062,Dental care,09 42,Other,09 42 OTH
Low risk,Self-care Products,SERV-0062,Facial care,09 45,"Shaving products, razors and (electric) shavers",09 45 03
Low risk,Self-care Products,SERV-0062,Facial care,09 45,Assistive products for application of facial products,09 45 06
Low risk,Self-care Products,SERV-0062,Facial care,09 45,Mirrors for facial care,09 45 09
Low risk,Self-care Products,SERV-0062,Facial care,09 45,Other,0945 OTH
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Assistive products for head protection,09 06 03
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Assistve products for eye protection or face protection,09 06 06
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Assistive products for ear protection or hearing protection,09 06 09
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Asisstive products for elbow protection or arm protection,09 06 12
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Assstive products for hand protection,09 06 15
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Assistive products for knee protection or leg protection,09 06 18
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,"Assistive products for heel protection, toe protection or foot protection",09 06 21
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Assistive products for trunk protection or whole-body protection,09 06 24
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Assistive products for airway protection,09 06 27
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Protective sheaths for bathing,09 06 30
Under advice,Self-care Products,SERV-0062,Body-worn assistive products for body protection,09 06,Other,09 06 OTH
Under advice,Self-care Products,SERV-0062,Body stabilisation,09 07,"Seat belts, belts and harnesses for body stabilisation",09 07 03
Under advice,Self-care Products,SERV-0062,Body stabilisation,09 07,"Positioning pillows, positioning cushions and positioning systems",09 07 06
Under Advice,Self-care Products,SERV-0062,Toileting,09 12,Commode chairs - without castors,n/a
Prescribed,Self-care Products,SERV-0062,Toileting,09 12,Commode chairs - with castors,09 12 03
Prescribed,Self-care Products,SERV-0062,Toileting,09 12,"Raised toilet seats, free-standing",09 12 12
Prescribed,Self-care Products,SERV-0062,Toileting,09 12,"Raised toilet seats, detachable",09 12 15
Prescribed,Self-care Products,SERV-0062,Toileting,09 12,Raised toilet seats fixed to toilet,09 12 18
Under advice,Self-care Products,SERV-0062,Collecting urine and faeces,09 27,Non-body-worn urinals and urine bottles,09 27 09
Prescribed,Self-care Products,SERV-0062,Collecting urine and faeces,09 27,Suspenders and fastning devices for urine collectors,09 27 13
Under advice,Self-care Products,SERV-0062,Collecting urine and faeces,09 27,Other,09 27 OTH
Prescribed,Self-care Products,SERV-0062,Absorbing products to contain urine and faeces,09 30,"Absorbent products, washable",09 30 36
Prescribed,Self-care Products,SERV-0062,Absorbing products to contain urine and faeces,09 30,"Underpads for non-body-worn use to protect chair or bedding, washable",09 30 45
Prescribed,Self-care Products,SERV-0062,Absorbing products to contain urine and faeces,09 30,Other,09 30 OTH
Prescribed,Self-care Products,SERV-0062,Prevent involuntary urine or faeces leakage,09 31,Incontinence alarms,09 31 09
Prescribed,Self-care Products,SERV-0062,Prevent involuntary urine or faeces leakage,09 31,Other,09 31 OTH
Prescribed,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Bath boards,09 33 04
Prescribed,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Bath seats,09 33 05
Prescribed,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Shower chairs with and without wheels,09 33 07
Prescribed,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,"Bathing stretchers, shower tables and adult changing tables",09 33 12
Prescribed,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Bathtub shelves,09 33 24
Prescribed,Self-care Products,SERV-0062,"Washing, bathing and showering",09 33,Assistive products for reducing length or depth of a bathtub,09 33 27
Prescribed,Self-care Products,SERV-0062,Sexual activity,09 54,Assistive products for sexual habitation and rehabilitation,09 54 12
Prescribed,Self-care Products,SERV-0062,Sexual activity,09 54,Other,09 54 OTH
Under advice,Self-care Products,SERV-0062,Body stabilisation,09 07,Other,0907 OTH
N/A,#N/A,#N/A,#N/A,,Other,SERV-0006-OTH
N/A,#N/A,#N/A,#N/A,,Telephone bill,HSITM-001
N/A,#N/A,#N/A,#N/A,,Internet Bill,HSITM-002
N/A,#N/A,#N/A,#N/A,,Other,SERV-0015-OTH
N/A,#N/A,#N/A,#N/A,,Taxi service,HSITM-011
N/A,#N/A,#N/A,#N/A,,Rideshare,HSITM-012
N/A,#N/A,#N/A,#N/A,,Other,SERV-0017-OTH
N/A,#N/A,#N/A,#N/A,,Continence aids,HSITM-004
N/A,#N/A,#N/A,#N/A,,Prescribed skin emollients,HSITM-005
N/A,#N/A,#N/A,#N/A,,Oxygen consumables,HSITM-006
N/A,#N/A,#N/A,#N/A,,Other,SERV-0026-OTH
N/A,#N/A,#N/A,#N/A,,Prescribed supplementary dietary products,HSITM-008
N/A,#N/A,#N/A,#N/A,,Prescribed dietary aids,HSITM-009
N/A,#N/A,#N/A,#N/A,,Other,SERV-0047-OTH
